"","mean","sd","min","max"
"RespJELLY",1.10778285383109,0.149050865625002,0.797463938455573,1.32893200774014
"UptaJELLY",4.39597797229771,1.00224979364446,1.90324787761134,8.27286979119238
"AssiJELLY",2.65881884452597,0.883768629862584,1.03550293888288,4.41284819928236
"ProdJELLY",1.55103599069488,0.812306186095125,0.216052785948587,3.08559678661311
"RespCUMACE",0.0468067828347744,0.00411833093450416,0.0309839442084404,0.0514996289712042
"UptaCUMACE",0.271331772918359,0.060628145384804,0.103753256963411,0.42289001038428
"AssiCUMACE",0.144221803676557,0.016519238328951,0.0662970761218448,0.171324575196489
"ProdCUMACE",0.0974150208417831,0.0136018575923482,0.0297641034162984,0.1198670241464
"RespCALLIA",0.00148548841280272,0.000188479961632957,0.00105028107751468,0.00174999962930702
"UptaCALLIA",0.00756489978341634,0.00217741497224124,0.0018352896248039,0.0141672708983224
"AssiCALLIA",0.00403656148623154,0.000853453515843418,0.00136340270334441,0.00582367130860113
"ProdCALLIA",0.00255107307342882,0.00075946181946202,0.000299083283994074,0.0040754693816796
"RespDETAMP",0.105987690372148,0.00883576337222539,0.0697884388920855,0.11599962508361
"UptaDETAMP",0.577817955592523,0.0816260407299693,0.315112232881777,0.95224743867996
"AssiDETAMP",0.330135408965329,0.0344069266323451,0.191762429707569,0.386110165839813
"ProdDETAMP",0.224147718593181,0.0279586013346041,0.0914570268818706,0.270234271886867
"RespDPAMP",0.00993389837558263,0.000636190359038297,0.00661696096701095,0.0106248593188127
"UptaDPAMP",0.0581057996018436,0.0118023387317047,0.0267956258389134,0.0874524889065906
"AssiDPAMP",0.0314286222773027,0.00252393489676092,0.0193831221093836,0.0353797161718068
"ProdDPAMP",0.02149472390172,0.00205947628922953,0.0104905799002995,0.02476262134103
"RespCARSHR",0.189840801702179,0.00954640590513457,0.123970873443929,0.20049970252711
"UptaCARSHR",1.29189110666651,0.114780914148271,0.722191455228562,1.64011225862704
"AssiCARSHR",0.607063239592701,0.0373960754217905,0.41309813282734,0.667688877865191
"ProdCARSHR",0.417222437890522,0.0304874632551295,0.269767886194962,0.467370316364973
"RespPAGURI",0.13891741089205,0.0166875293858195,0.0972191409932064,0.161998634949172
"UptaPAGURI",0.69924212746288,0.108912363664027,0.372614676886386,1.20163529806474
"AssiPAGURI",0.396787721992695,0.0653647374584972,0.178518369109953,0.53846756837096
"ProdPAGURI",0.257870311100645,0.0561539552759217,0.0572547155846326,0.376823906259762
"RespCARNCR",0.0482008599860141,0.00249631841253956,0.0319690655979887,0.0508746809748361
"UptaCARNCR",0.353024720524057,0.0358450467106818,0.188813241553053,0.422504323905641
"AssiCARNCR",0.152402898118321,0.0109542562837933,0.0930156130280688,0.169430301014936
"ProdCARNCR",0.104202038132307,0.00935635637400895,0.0488670443512403,0.118577950436722
"RespHSUDEBI",34.1280321965099,1.3323207934995,32.3277423788769,39.4717900339237
"UptaHSUDEBI",73.3213032131087,10.2722320758472,63.7663017216037,133.322941229236
"AssiHSUDEBI",57.0529211643822,8.44431936145841,48.1402422107523,106.533779912407
"ProdHSUDEBI",22.9248889678723,8.95729799906999,11.3421729812384,74.0527895934149
"RespSUDEBI",0.724975267229038,0.0536734502837887,0.492422153946802,0.798999146493823
"UptaSUDEBI",4.98148747259581,0.393785555634657,3.36330450183169,6.50306892071948
"AssiSUDEBI",2.21554920218227,0.190396238027962,1.50494228030502,2.65919432411297
"ProdSUDEBI",1.49057393495323,0.160336326454542,0.87960901627108,1.86029906735362
"RespSUSBIV",3.20836015908495,0.0814460071046236,2.82101834756519,3.31786691501648
"UptaSUSBIV",25.4719636671312,0.757728359814168,23.1520011165193,27.4794113223798
"AssiSUSBIV",10.357437010243,0.301308728608321,9.28958976547647,11.0485460898662
"ProdSUSBIV",7.14907685115805,0.257847544934454,6.12261402380618,7.7310545314777
"RespDETBIV",0.250182631885037,0.0223665264031987,0.165991359015853,0.276498756363341
"UptaDETBIV",1.14040953628106,0.0554716722676592,0.92175368354234,1.33485401721722
"AssiDETBIV",0.769802840281318,0.0875720837650611,0.418040920365844,0.919998899886258
"ProdDETBIV",0.519620208396281,0.071947996256983,0.191383189776897,0.64358324029891
"RespSUSGAS",0.000689091962036113,5.53240162651936e-05,0.000451022158406991,0.000749992661049667
