"","mean","sd","min","max"
"ProdDETPOLS",0.465250451057143,0.00541312423308466,0.44528552,0.47701156
"RespCARPOLPS",0.0235576307616327,0.00235569601191197,0.01607599,0.02674926
"UptaCARPOLPS",0.0994539225313864,0.011377507808008,0.06135475082,0.16301972892
"AssiCARPOLPS",0.0700308293983252,0.00938583068424857,0.03627742082,0.0890401159
"ProdCARPOLPS",0.0464731986366926,0.00792124849883842,0.01399822212,0.0622941659
"RespCARPOLPCS",0.0691728099640816,0.00318388736749516,0.04638118,0.07324978
"UptaCARPOLPCS",0.285907629818325,0.0136856921809338,0.21729490316,0.33973239709
"AssiCARPOLPCS",0.219928004182407,0.0127635416779039,0.14924650316,0.244091726132
"ProdCARPOLPCS",0.150755194218325,0.010644621580057,0.10286532316,0.170851156132
"RespSUDEPOLS",0.184743563183673,0.0012755728562873,0.1754864,0.186375
"UptaSUDEPOLS",1.51312733822257,0.0141547926135716,1.4491500859,1.552045197
"AssiSUDEPOLS",0.610286827789917,0.00537713150248577,0.5822517821,0.6211641563
"ProdSUDEPOLS",0.425543264606244,0.00468898803502601,0.3993192877,0.4348041563
"RespSUSWORS",0.00344624355093878,0.000270780391532229,0.002266702,0.003749929
"UptaSUSWORS",0.0194950993773396,0.00330121929168138,0.0099235196,0.0309249693
"AssiSUSWORS",0.010748519305911,0.00107210946981677,0.005648826,0.0124837843
"ProdSUSWORS",0.00730227575497224,0.000877651627656307,0.0028683959,0.0087386043
"RespSEPATLS",0.0368164859485714,0.00469862416108424,0.02895189,0.04824882
"UptaSEPATLS",0.0902683905517334,0.0195081133064085,0.04661847014,0.190908840945
"AssiSEPATLS",0.0639333254194885,0.0137999780219875,0.03659016912,0.129943531079
"ProdSEPATLS",0.027116839470917,0.011771794317169,0.0074363661766,0.08922438344
"RespSUDEBIVS",0.521216059085714,0.00144397472959666,0.5132143,0.5229999
"UptaSUDEBIVS",4.31479105648699,0.0165691607038116,4.225219748,4.3571611024
"AssiSUDEBIVS",1.73150166489515,0.00607340134417171,1.699514919,1.7432491024
"ProdSUDEBIVS",1.21028560580944,0.00527371823615913,1.177007419,1.2202651024
"RespHSUDEBIVS",0.00139076389889796,9.91838484106384e-05,0.0009034757,0.001499985
"UptaHSUDEBIVS",0.00818013406829842,0.00152499443919376,0.0037674337,0.012318502
"AssiHSUDEBIVS",0.00437641088781678,0.000392751192815718,0.0024056903,0.0049979853
"ProdHSUDEBIVS",0.00298564698891882,0.000319346863115426,0.0014182474,0.0034984463
"RespDEPBIVS",0.0132962784776327,0.00130813565607739,0.009013836,0.014999647
"UptaDEPBIVS",0.0666773269134694,0.00504650369019646,0.04721454,0.09455479
"AssiDEPBIVS",0.0397636322253061,0.00501731315510139,0.0228673,0.04989561
"ProdDEPBIVS",0.0264673537476735,0.004219558242421,0.010436698,0.03492481
"RespBROGASS",0.000335824904873469,3.2843604100804e-05,0.0002252734,0.0003749991
"UptaBROGASS",0.00176484902182041,0.000407505872136747,0.0007813634,0.003081555
"AssiBROGASS",0.0010194858961551,0.000130130475173874,0.0004912352,0.0012494176
"ProdBROGASS",0.000683660991281633,0.000107707292518186,0.0002453513,0.0008745594
"RespBORGASS",0.0118076780355102,0.00137449200435327,0.00840231,0.013999189
"UptaBORGASS",0.0525879351938971,0.00711175523288894,0.0321426245,0.09199235504
"AssiBORGASS",0.0322083192623053,0.00530955573817015,0.01539065359,0.04649136265
"ProdBORGASS",0.0204006412267951,0.00466692259520413,0.0044592567,0.03253297765
"RespECHCORS",2.00585304555102,0.0116315876767602,1.956248,2.020999
"UptaECHCORS",8.38696023093878,0.0213430864898647,8.316922,8.443193
"AssiECHCORS",6.64508490832653,0.0423597659809092,6.509309,6.736382
"ProdECHCORS",4.63923186277551,0.0353891952952967,4.5167,4.715385
"RespOPHIURS",0.549002755289796,0.0107373607123792,0.4976907,0.5629988
"UptaOPHIURS",2.29779125974328,0.0307359896594705,2.18204940242,2.3823433964919
"AssiOPHIURS",1.79078610935961,0.036855536733614,1.65085937351,1.87643876126
"ProdOPHIURS",1.24178335406981,0.0302096299973437,1.12778116713,1.31348476126
"RespISOPODU",0.00580685085853061,0.000431395928013711,0.003766595,0.006249955
"UptaISOPODU",0.035706225254108,0.00822554873280961,0.0120191964,0.0517111909
"AssiISOPODU",0.0183078894018631,0.00174040354548373,0.0084756976,0.0208130252
"ProdISOPODU",0.0125010385433325,0.00140915146221511,0.0044336116,0.0145671432
"RespDETPOLU",0.0687191721518367,0.00913330342953834,0.04927781,0.08212333
"UptaDETPOLU",0.307290516587755,0.0255372662897559,0.2094088,0.4094445
"AssiDETPOLU",0.179944851236735,0.0352340976921353,0.09620074,0.27363984
"ProdDETPOLU",0.111225679084898,0.0320144754762311,0.0215613,0.1915379
"RespCARPOLCU",0.000953920861697959,4.34047832509555e-05,0.0006592193,0.0009999998
"UptaCARPOLCU",0.00650188585120115,0.000977085468799466,0.00328511161,0.0083075937
"AssiCARPOLCU",0.00306094438665421,0.000177161201971148,0.00207741546,0.0033321037
"ProdCARPOLCU",0.00210702352495625,0.000145846646459094,0.001274746991,0.0023321903
"RespNEPHTYU",0.562824376179592,0.00372530642627914,0.5346104,0.5674996
"UptaNEPHTYU",2.66771913072392,0.0642991455818161,2.532738789909,2.928496534274
"AssiNEPHTYU",1.86402644040555,0.0145881879168021,1.780167189909,1.8914425506
"ProdNEPHTYU",1.30120206422596,0.0120766903523085,1.241979836733,1.3240045506
"RespASTRUBU",0.513373441812245,0.00348200232943651,0.4903918,0.5178731
"UptaASTRUBU",2.16205657337991,0.0209405932008561,2.0583123841,2.2370015531
"AssiASTRUBU",1.69641008515134,0.0155606338510401,1.5722936841,1.72584263362
"ProdASTRUBU",1.18303664333909,0.013339594954287,1.0759874841,1.208020675692
"RespWATBAC",18.4273804416327,0.0313174088776346,18.29905,18.53833
"UptaWATBAC",33.4043663779592,0.0317840198483937,33.2428,33.49424
"ProdWATBAC",14.9769859363265,0.0197589021002161,14.94375,15.03452
"RespSEDBAC",10.0356854756735,0.022088764203426,9.968003,10.15244
"UptaSEDBAC",18.1869139567347,0.0201075008152986,18.10528,18.29879
"ProdSEDBAC",8.15122848106122,0.00966145126550919,8.136525,8.182693
"SOMbur",0.8,0,0.8,0.8
"RespFish",0.0570276051238593,0.00227258000892195,0.04371182202,0.06065396899
"RespBenthos",5.75732392031582,0.0257665651844504,5.6703695935,5.8317516971
"RespTurb",1.16803678664441,0.00835333451577678,1.130445992,1.192996531
"RespTotal",15.7930093959893,0.0273551361699953,15.6923585935,15.9168745002
