"Fish","name","mean","std","min","max"
"PERCOI","UbiqCrust",0.000684183135268702,0.000651443676915279,3.72281e-08,0.00563283
"PERCOI","UbiqPoly",0.0061212279254993,0.00406698074740043,1.2085474e-08,0.0474124616
"PERCOI","UbiqOther",0,0,0,0
"PERCOI","Fish",0.00816513527425738,0.00332119503246259,1.0216014674e-06,0.0404117909
"SCORPA","Phyto",0,0,0,0
"SCORPA","Zoo",5.24100121119724e-05,4.97783741199097e-05,2.855472e-09,0.0003934692
"SCORPA","SPOM",0,0,0,0
"SCORPA","SOM",0,0,0,0
"SCORPA","Benthos",0.00150763293697806,0.000264918588956104,1.2559966967e-07,0.012731316
"SCORPA","TEPL",0.000449342850273657,0.000145136829094689,3.387912642e-08,0.0036660335
"SCORPA","SSed",0.000859309783172996,0.000200229859441744,6.090158045e-08,0.007446034
"SCORPA","Ubiq",0.000198980303531408,9.50008579054499e-05,3.08189628e-08,0.0016192485
"SCORPA","TeplBiv",0,0,0,0
"SCORPA","TeplCrust",0.000367728228479905,0.0001324117848373,3.12804134e-08,0.0030235487
"SCORPA","TeplPoly",2.58181455563091e-05,2.50576482075624e-05,2.745802e-11,0.0001969783
"SCORPA","TeplOther",5.57964762374432e-05,5.3888149552268e-05,2.571255e-09,0.0004455065
"SCORPA","SSedBiv",0.000143399664053208,7.82086396963076e-05,1.8054767e-08,0.0011568843
"SCORPA","SSedCrust",0.000312410374744452,0.000121633126077103,1.30141955e-08,0.0026301025
"SCORPA","SSedPoly",0.000260769699970861,0.000112468527637669,2.53587576e-08,0.0023313879
"SCORPA","SSedOther",0.000142730044404475,8.08184274818572e-05,4.47386035e-09,0.0013276593
"SCORPA","UbiqBiv",0,0,0,0
"SCORPA","UbiqCrust",4.68077876901945e-05,4.30743426414104e-05,2.335427e-09,0.0003843787
"SCORPA","UbiqPoly",0.000152172515841213,8.46744590108603e-05,2.84835358e-08,0.0012348698
"SCORPA","UbiqOther",0,0,0,0
"SCORPA","Fish",0.000360564191466574,0.000121972263798957,2.874422235e-08,0.0026798267
"AMMODY","Phyto",0,0,0,0
"AMMODY","Zoo",0.000509656141907352,0.000449534693553684,5.08197e-09,0.003196045
"AMMODY","SPOM",0,0,0,0
"AMMODY","SOM",0,0,0,0
"AMMODY","Benthos",0.00298043489486289,0.000960523960159247,2.63013853e-07,0.017976317
"AMMODY","TEPL",0.000945913871599985,0.000545199928001217,5.559112e-08,0.005413963
"AMMODY","SSed",0.00161815650680782,0.0007145500730525,1.9849575e-07,0.010462587
"AMMODY","Ubiq",0.000416364516455094,0.000338794199549133,8.926983e-09,0.002099767
"AMMODY","TeplBiv",0,0,0,0
"AMMODY","TeplCrust",0.000945913871599985,0.000545199928001217,5.559112e-08,0.005413963
"AMMODY","TeplPoly",0,0,0,0
"AMMODY","TeplOther",0,0,0,0
"AMMODY","SSedBiv",0,0,0,0
"AMMODY","SSedCrust",0.00161815650680782,0.0007145500730525,1.9849575e-07,0.010462587
"AMMODY","SSedPoly",0,0,0,0
"AMMODY","SSedOther",0,0,0,0
"AMMODY","UbiqBiv",0,0,0,0
"AMMODY","UbiqCrust",0.000416364516455094,0.000338794199549133,8.926983e-09,0.002099767
"AMMODY","UbiqPoly",0,0,0,0
"AMMODY","UbiqOther",0,0,0,0
"AMMODY","Fish",0.000766174547027636,0.000309545401109408,3.74967804e-08,0.0048304262
"PLEURO","Phyto",0,0,0,0
"PLEURO","Zoo",0.0953111241787755,0.0202099686411547,0.03942248,0.17268357
"PLEURO","SPOM",0,0,0,0
"PLEURO","SOM",0,0,0,0
"PLEURO","Benthos",0.135786439201192,0.0219001688320988,0.00012265706502696,0.8255256581
"PLEURO","TEPL",0.0255894637536536,0.0080735529412074,4.7930976133e-06,0.1866673337
"PLEURO","SSed",0.0978922295155601,0.0193243989489307,0.000116090857711,0.5243241754
"PLEURO","Ubiq",0.0123047459319786,0.00640333842948516,1.77310970266e-06,0.114534149
"PLEURO","TeplBiv",0,0,0,0
