"","flow","mean","std","minimum","maximum"
"525","DPAMPS->CARPOLPCS",0.00312510130409825,0.00301840237282641,8.860131e-08,0.0256812039
"526","DETPOLS->CARPOLPCS",0.0201022647059869,0.00864919541854324,5.343048e-05,0.0546118898
"527","CARPOLPS->CARPOLPCS",0.00446966805810908,0.0034594297593359,8.340658e-08,0.0298365573
"528","CARPOLPCS->CARPOLPCS",0.00518799273076028,0.00409322501912222,4.682093e-07,0.03262868
"529","SUDEPOLS->CARPOLPCS",0.0112526992430971,0.00600378109723847,1.199978e-05,0.0379294642
"530","SUSWORS->CARPOLPCS",0.000706547781031949,0.000642263852971604,3.401867e-08,0.004684083
"531","DETPOLU->CARPOLPCS",0.00666097304702001,0.00586922356926188,5.427064e-07,0.051689331
"532","CARPOLCU->CARPOLPCS",0.000143359799636419,0.000132735072975079,1.014049e-08,0.001249189
"533","NEPHTYU->CARPOLPCS",0.00614019405497657,0.00470717213077514,1.36801e-06,0.0331180632
"534","SOM->CARPOLPCS",0.114451016681633,0.00947558728345693,0.07727644,0.1642022
"535","CUMACERS->CARPOLPCS",0.00267142322410122,0.00254141253054008,3.021801e-07,0.02350899
"536","DETSHRS->CARPOLPCS",0.00256234605034072,0.002299889369538,2.694798e-07,0.01746685
"537","CARSHRS->CARPOLPCS",0.0683227745232653,0.0144566333147407,0.00703112,0.11650593
"538","PHYTOPLANKT->SUDEPOLS",1.35163786930612,0.0134766179890168,1.296998,1.390221
"539","SOM->SUDEPOLS",0.00558755274501918,0.00494544661091138,8.58223e-07,0.0423244187
"540","SPOM->SUDEPOLS",0.155901916171429,0.00192992471404665,0.145171,0.161133
"541","ZOOPLANKT->SUSWORS",0.00313251996743086,0.00145165666630988,1.271063e-06,0.009187301
"542","PHYTOPLANKT->SUSWORS",0.0123696096882449,0.00211640684786973,0.006033639,0.020074767
"543","SPOM->SUSWORS",0.00399296972166384,0.00196342133334602,1.745999e-06,0.012548485
"544","SUSBIVT->SEPATLS",0.00576644114446644,0.00446609508664683,5.109449e-07,0.0355732073
"545","SDAMPTR->SEPATLS",0.0053144052879617,0.004264364078661,6.838448e-07,0.0355961655
"546","DETCRATR->SEPATLS",0.000955519877359319,0.000858583395411527,7.999892e-09,0.006965819
"547","SUDECRATR->SEPATLS",0.00398278834693247,0.00304464445157536,3.761068e-07,0.02310825
"548","CARCRATR->SEPATLS",0.0345028032221225,0.00925996477218369,0.008325654,0.090524658
"549","CUMACERS->SEPATLS",0.0024206426519909,0.00226123479545222,1.714586e-07,0.0208891
"550","DETCRARS->SEPATLS",0.00356090343801112,0.0030704731024814,9.355667e-08,0.0205146816
"551","LANCONRS->SEPATLS",4.8660419069419e-05,4.58493072079346e-05,1.228143e-09,0.0003890169
"552","DETAMPS->SEPATLS",0.00561604844662016,0.00415037982033217,5.298608e-07,0.03487314
"553","DPAMPS->SEPATLS",0.00247680367607624,0.00211637444346765,1.214677e-07,0.01606703
"554","DETSHRS->SEPATLS",0.00214921018737638,0.00187693031682992,2.602801e-09,0.01408972
"555","CARSHRS->SEPATLS",0.0079873884698729,0.00559482427930234,2.406226e-06,0.0435698224
"556","THISCUS->SEPATLS",0.0060479577705418,0.0042858025263296,3.595591e-07,0.0326986254
"557","SUDEBIVS->SEPATLS",0.00521634247076563,0.00403845304620769,1.32566e-06,0.03281837
"558","HSUDEBIVS->SEPATLS",0.000280222389494896,0.000255183225093272,6.894232e-09,0.001872546
"559","DEPBIVS->SEPATLS",0.00296813926939583,0.00257577054125102,8.257215e-08,0.0206196567
"560","ISOPODU->SEPATLS",0.000974113483675717,0.000895911093801269,3.085953e-08,0.008982897
"561","ZOOPLANKT->SUDEBIVS",0.890699376114286,0.00447318816930084,0.8689458,0.9028669
"562","PHYTOPLANKT->SUDEBIVS",3.18651996832653,0.0126590708421138,3.12249,3.222359
"563","SOM->SUDEBIVS",0.00650648002168555,0.00584216324178465,1.02973e-06,0.0734266903
"564","SPOM->SUDEBIVS",0.23106523202449,0.00795332486857364,0.2015139,0.2606173
"565","PHYTOPLANKT->HSUDEBIVS",0.00319564470985224,0.00150109189811031,1.161636e-06,0.007665081
"566","SOM->HSUDEBIVS",0.00284491894665842,0.00188123229133933,7.415466e-07,0.010079776
"567","SPOM->HSUDEBIVS",0.00213957041178776,0.000578659011066291,0.0005992685,0.004013174
"568","SOM->DEPBIVS",0.0666773269134694,0.00504650369019646,0.04721454,0.09455479
"569","SOM->BROGASS",0.00176484902182041,0.000407505872136747,0.0007813634,0.003081555
"570","SCAGASRS->BORGASS",0.011214634565978,0.00364419381740409,1.438001e-05,0.02640225
"571","SUDEBIVS->BORGASS",0.00550406948668212,0.00435857649487837,1.462809e-06,0.0314004
"572","HSUDEBIVS->BORGASS",0.000279026030485611,0.000253201060853203,1.54642e-08,0.001864523
"573","DEPBIVS->BORGASS",0.00273036565479667,0.0024709371144552,6.157847e-07,0.019657349
"574","BROGASS->BORGASS",0.000104746728326834,9.15019258507662e-05,1.306811e-08,0.0006476594
"575","BORGASS->BORGASS",0.00307097095946465,0.00241456268436234,1.043667e-06,0.0183542214
"576","SOM->BORGASS",0.0296841217681633,0.00456408240897757,0.01595029,0.05264113
"577","SOM->ECHCORS",8.38696023093878,0.0213430864898647,8.316922,8.443193
"578","SDAMPTR->OPHIURS",0.00503882812876246,0.00424139673541461,2.826059e-07,0.03244734
"579","LANCONRS->OPHIURS",4.80981216392318e-05,4.61280336686057e-05,1.177716e-08,0.0003790625
"580","SCAGASRS->OPHIURS",0.0103263125025909,0.0067664047676132,2.655102e-06,0.046135354
"581","DETAMPS->OPHIURS",0.0052592332904379,0.00459687639957741,7.267543e-07,0.03997222
"582","DETPOLS->OPHIURS",0.00444754763416749,0.00378442227579229,4.089625e-07,0.0277914961
"583","CARPOLPS->OPHIURS",0.0033407847919706,0.00289338037712523,3.00076e-07,0.0241787728
"584","CARPOLPCS->OPHIURS",0.00359770194713435,0.00310859619082346,1.60514e-07,0.0223331956
"585","SUDEPOLS->OPHIURS",0.00537596975475242,0.00461539301629265,6.773832e-07,0.03222381
"586","SUSWORS->OPHIURS",0.000701598178516836,0.000640681764729931,6.847927e-08,0.004774474
"587","SUDEBIVS->OPHIURS",0.00468517316793249,0.00403289008840949,1.106592e-06,0.0267100951
"588","HSUDEBIVS->OPHIURS",0.000275292369428962,0.000253019497934332,1.60296e-08,0.001994094
"589","DEPBIVS->OPHIURS",0.00259596222639542,0.00230992073669217,3.132396e-07,0.0205329886
"590","BROGASS->OPHIURS",0.000102551628892067,8.96539440834955e-05,1.384383e-08,0.0005843015
"591","BORGASS->OPHIURS",0.00430305457366996,0.00311718533014234,1.59127e-06,0.0231486724
"592","ECHCORS->OPHIURS",0.00760520771462121,0.00630922104058456,3.324428e-07,0.0481928922
"593","OPHIURS->OPHIURS",1.01917586769796,0.0227180604758504,0.9509498,1.0847229
"594","DETPOLU->OPHIURS",0.00500101206173482,0.00471106627983327,1.976409e-07,0.0492212454
"595","CARPOLCU->OPHIURS",0.000143175194591544,0.000133980744612732,1.131444e-08,0.001200094
"596","NEPHTYU->OPHIURS",0.00392466908461337,0.00344935729283649,5.030668e-07,0.04305416
"597","SOM->OPHIURS",1.21184321967347,0.0177465551357038,1.153809,1.256084
"598","PHYTOPLANKT->ISOPODU",0.033296479922449,0.00776511609291165,0.01093639,0.04985656
"599","SOM->ISOPODU",0.00193454050771569,0.00122181437664699,1.526496e-07,0.005686306
"600","SPOM->ISOPODU",0.000475204823943373,0.000297352375646242,3.564762e-08,0.001319518
"601","SOM->DETPOLU",0.307290516587755,0.0255372662897559,0.2094088,0.4094445
"602","SDAMPTR->CARPOLCU",0.00107314590641481,0.000903263045293688,3.193035e-07,0.00522007
"603","CUMACERS->CARPOLCU",0.000590538941303391,0.000480003467353266,9.121535e-09,0.002780349
"604","DETAMPS->CARPOLCU",0.000841716410991943,0.0006763989055418,4.476719e-08,0.003969366
"605","DPAMPS->CARPOLCU",0.00115433418301427,0.00087695620171774,2.367113e-07,0.004971433
"606","DETSHRS->CARPOLCU",0.00108916430439221,0.000898953952113317,2.366345e-07,0.00577377
"607","CARSHRS->CARPOLCU",0.00131381156796666,0.000877288719653564,1.78939e-07,0.004838506
"608","SOM->CARPOLCU",0.000439174537117861,0.000325418257907141,1.728599e-07,0.001787406
"609","SUSBIVT->NEPHTYU",0.0423127407179102,0.0134046244329302,0.0003016714,0.10967634
"610","LANCONRS->NEPHTYU",4.91891252996353e-05,4.60191236450039e-05,1.233054e-09,0.0003424029
"611","DETPOLS->NEPHTYU",0.142192227331429,0.0305314738216088,0.00953361,0.1882693
"612","CARPOLPS->NEPHTYU",0.0131562423238722,0.0115361656692698,4.510707e-06,0.0584272103
"613","CARPOLPCS->NEPHTYU",0.114788228913469,0.0171939761365723,0.06220148,0.16765493
"614","SUDEPOLS->NEPHTYU",0.0171963074398294,0.0132247043511897,1.015156e-05,0.07209005
"615","SUSWORS->NEPHTYU",0.000732498407504735,0.00067509462427224,1.093997e-07,0.005470385
"616","SUDEBIVS->NEPHTYU",0.0696059467628571,0.0152567152831861,0.005818414,0.12393028
"617","HSUDEBIVS->NEPHTYU",0.000279703329016211,0.000259092611228974,1.411683e-08,0.001930063
"618","DEPBIVS->NEPHTYU",0.00293806936054459,0.00280017933453043,7.735677e-08,0.02363264
"619","DETPOLU->NEPHTYU",0.0186338652454432,0.0318888629196824,7.636709e-07,0.1826511187
"620","CARPOLCU->NEPHTYU",0.0001487695173586,0.000137662339837273,6.11906e-08,0.001094319
"621","NEPHTYU->NEPHTYU",1.26139586710204,0.0180758988752219,1.199783,1.315689
"622","PHYTOPLANKT->NEPHTYU",0.9773896596,0.0403657228418429,0.8844888,1.178823
"623","SOM->NEPHTYU",0.00689981554734359,0.00629230564736597,2.847229e-06,0.06307912
"624","CARPOLMT->ASTRUBU",0.00355754187572086,0.00289179737860377,4.890546e-07,0.02006607
"625","CARPOLPCT->ASTRUBU",0.00590016406768462,0.00414529142911364,1.303976e-07,0.02801721
"626","CARPOLT->ASTRUBU",0.000440189803854811,0.000378105615542948,2.039624e-08,0.00254263
"627","SUSBIVT->ASTRUBU",0.00831777372380139,0.00686115035510672,1.106493e-06,0.05764677
"628","SUSGAST->ASTRUBU",0.00860516734177861,0.00608001614595998,3.975952e-06,0.040485912
"629","GRAGAST->ASTRUBU",0.00718312995294237,0.00659783624733374,1.76292e-06,0.0421277
"630","SDAMPTR->ASTRUBU",0.00795530469772147,0.00568570418882134,1.060631e-06,0.04281348
"631","DETCRATR->ASTRUBU",0.000951202540143527,0.000843887037553713,6.44041e-09,0.006187333
"632","SUDECRATR->ASTRUBU",0.00454127219636444,0.00321006947167241,2.123098e-07,0.02613063
"633","CARCRATR->ASTRUBU",0.102951888114286,0.0206585542402299,0.04463081,0.18489354
"634","HOMGAMTR->ASTRUBU",0.00218468597235464,0.0018675205328533,4.044577e-07,0.01260344
"635","CUMACERS->ASTRUBU",0.00260380490633855,0.00251480273870534,1.616922e-07,0.0226839
"636","DETCRARS->ASTRUBU",0.00361856280584054,0.00287124247174839,9.269058e-08,0.0220892791
"637","LANCONRS->ASTRUBU",4.8221447103013e-05,4.48966941733828e-05,4.726854e-09,0.0003518391
"638","DETAMPS->ASTRUBU",0.00852780247299192,0.00591731469915113,1.374898e-06,0.0398216267
"639","DPAMPS->ASTRUBU",0.0024241517443174,0.00206863694221227,2.99565e-07,0.0162299814
"640","DETSHRS->ASTRUBU",0.00217548462173389,0.0018589889709513,1.232433e-07,0.01466016
"641","CARSHRS->ASTRUBU",0.00702450266576082,0.00480874745383403,1.66686e-06,0.0356845821
"642","THISCUS->ASTRUBU",0.01174804973796,0.00677740782002947,1.611748e-05,0.04159973
"643","PAGURIS->ASTRUBU",0.0116080929092208,0.00696795385958193,5.357055e-06,0.0511250229
"644","DETPOLS->ASTRUBU",0.00745851181162102,0.00526076668336454,7.149085e-07,0.0350692217
"645","CARPOLPS->ASTRUBU",0.00408180545752591,0.00334713639587133,5.730366e-08,0.0238706297
"646","CARPOLPCS->ASTRUBU",0.00425442979205601,0.0034183359755398,4.961546e-07,0.0298771809
"647","SUDEPOLS->ASTRUBU",0.00670380966424647,0.00554508460177264,8.737463e-07,0.0532611516
"648","SUSWORS->ASTRUBU",0.000710203537402095,0.00064776864170935,2.569326e-08,0.005184912
"649","SUDEBIVS->ASTRUBU",0.00717290563785355,0.00531499660490964,5.854815e-06,0.0400844826
"650","HSUDEBIVS->ASTRUBU",0.000278621956605689,0.000258266546263775,1.176176e-08,0.002038095
"651","DEPBIVS->ASTRUBU",0.00264939357298201,0.00238471248899229,4.133827e-08,0.01734495
"652","BROGASS->ASTRUBU",0.000106277433628498,9.10117877404853e-05,4.316352e-10,0.0006806216
"653","BORGASS->ASTRUBU",0.00692091094909617,0.00424416022253983,1.544644e-07,0.0249321461
