"","flow","mean","std","minimum","maximum"
"133","CARSHR->SCORPA",0.00164700707297885,0.00149530655066604,2.22000149119356e-07,0.0111147360715995
"134","PAGURI->SCORPA",0.00143786729332527,0.00129109415437751,2.82292611907505e-07,0.00909016741860578
"135","CARNCR->SCORPA",0.00162092990701007,0.00148802750708142,1.44659548212033e-07,0.0112073109367336
"136","ZOOPLANKT->SCORPA",0.000968257176707129,0.000820812612066222,1.47855489509782e-08,0.00566782706250573
"137","CARANG->AMMODY",1.81264723127739e-05,1.43694928327183e-05,1.24094607061986e-09,7.84468158506559e-05
"138","CLUPEI->AMMODY",9.7969168808598e-05,8.04804579728537e-05,8.79560127499629e-09,0.000500775169445974
"139","GADIFO->AMMODY",0.000735235845583912,0.000528957665339829,2.34491740619142e-08,0.00286419233441532
"140","GOBIFO->AMMODY",0.000101022240152873,8.8479708042082e-05,1.26802409740356e-08,0.0005893248589512
"141","AMMODY->AMMODY",0.000628743774055969,0.000541346211228974,8.14286660842656e-09,0.00357296017583702
"142","CUMACE->AMMODY",0.00299486941085736,0.00215779706826027,1.3405867985606e-06,0.011479230379084
"143","DETAMP->AMMODY",0.00312639731158891,0.00233693666095705,2.87988102523271e-08,0.0128494234643909
"144","DPAMP->AMMODY",0.00125299688927944,0.00115313414674649,8.0770796525537e-08,0.00928695747392934
"145","CARSHR->AMMODY",0.00111903090237296,0.000825572724065494,1.95532946068754e-07,0.00467787753032916
"146","ZOOPLANKT->AMMODY",0.00298857059259758,0.00242254201525891,2.78972364023758e-07,0.0160435986118336
"147","AMMODY->PLEURO",0.000926440807368567,0.000750740986224436,1.36308698360686e-07,0.00470206599772621
"148","PLEURO->PLEURO",0.00963770359115157,0.00906607423015238,3.36222527337165e-07,0.0711238696330206
"149","CUMACE->PLEURO",0.0120517375967473,0.0106089296075179,4.86840867998449e-08,0.0800106387111549
"150","CALLIA->PLEURO",0.00112964739075696,0.00079084783881432,4.54344638873286e-08,0.00386296388978525
"151","DETAMP->PLEURO",0.0181822158635632,0.0167416879454022,3.50459712736284e-07,0.142898688594724
"152","DPAMP->PLEURO",0.00169111806147371,0.00157245937892047,5.37144874818954e-08,0.0117833448914078
"153","CARSHR->PLEURO",0.00776021038108677,0.00736679896872391,2.60092585240785e-06,0.0688634525467943
"154","PAGURI->PLEURO",0.0113744241697972,0.010745409351078,7.35012816287635e-07,0.117600796876342
"155","CARNCR->PLEURO",0.00800595370313436,0.00755522733385484,3.83553960071295e-07,0.0720433383237008
"156","HSUDEBI->PLEURO",0.0401172457552284,0.0352364394592245,3.24061471864163e-06,0.262685660991978
"157","SUDEBI->PLEURO",0.0176506800938125,0.017138909601277,5.28965956971428e-06,0.153989571781981
"158","SUSBIV->PLEURO",0.0423794322141925,0.0355671019327382,6.03237883610645e-07,0.230283166977361
"159","DETBIV->PLEURO",0.0429303528348693,0.0318213472801419,2.21880035128124e-07,0.185885376512958
"160","DETPOL->PLEURO",0.0131378159242461,0.012644417324732,2.99166266213048e-06,0.127330754839617
"161","NEPHTY->PLEURO",0.0121275759819339,0.0115111507639776,1.40398793191009e-06,0.104400435970999
"162","CARPOLP->PLEURO",0.0128604238126151,0.012324902439924,4.56753877068804e-06,0.103223580589445
"163","CARPOLC->PLEURO",0.00780025544880978,0.00753694563751993,1.41555703131381e-06,0.0712537048856968
"164","CARPOLPC->PLEURO",0.0136695087694526,0.0133974117516778,1.45600874641275e-07,0.147635486153438
"165","SUDEPOL->PLEURO",0.0170830401367657,0.0166763481952613,7.17170521283284e-06,0.202257037201794
"166","SUSWOR->PLEURO",0.00756222852535585,0.00703967325912231,2.42181208782868e-07,0.0591363202876642
"167","ASTRUB->PLEURO",0.0158333893798485,0.0153364761439415,6.18318673402363e-06,0.147646422449379
"168","OPHIUR->PLEURO",0.0101362296410011,0.00956277030671407,2.01166068083483e-06,0.0734429728148736
"169","ECHCOR->PLEURO",0.0432725541944812,0.0371904693448195,6.92922718751556e-06,0.241804263899796
"170","ACRBRA->PLEURO",0.0113091154668695,0.0106547272794392,1.94912949629921e-07,0.0747031556944581
"171","PSAMIL->PLEURO",0.0129501941578162,0.0121655483757111,4.09697459120981e-06,0.090135557486335
"172","ZOOPLANKT->PLEURO",0.0329590874122401,0.0305281044566993,1.36342909043408e-06,0.203301745414707
"173","SEPATL->PLEURO",0.00949809813136646,0.0088705456098529,7.941818182069e-07,0.0672860969981667
"174","GOBIFO->PLEURO",0.000108969956626022,9.5064991248759e-05,1.58457532721239e-09,0.00065007606010477
"175","SUSGAS->PLEURO",0.000156733208891442,0.000143576985899312,4.43048605498163e-08,0.00122136331780123
"176","PARGAS->PLEURO",0.000418058346876032,0.000368791259570083,8.51035988437608e-09,0.00252201499155622
"177","SCAGAS->PLEURO",0.000945320704221621,0.000852001900964479,1.53742702297901e-08,0.00688173703486658
"178","BORGAS->PLEURO",0.00839313801993276,0.0078300818114873,5.38546005212687e-06,0.0684065819428643
"179","ZOOPLANKT->JELLY",2.63758678337872,0.601349876186678,1.1419487265669,4.96372187471552
"180","SPOM->JELLY",1.75839118891899,0.400899917457786,0.761299151044446,3.30914791647686
"181","SOM->CUMACE",0.205108424951965,0.0458307675281739,0.0784304281453431,0.319676177341458
"182","SPOM->CUMACE",0.0662233479663942,0.0147973778566301,0.025322828818068,0.103213833042822
"183","SOM->CALLIA",0.00564162017737939,0.00162383489455279,0.00136869056756675,0.0105654223647669
"184","SPOM->CALLIA",0.00192327960603695,0.00055358007768845,0.000466599057237149,0.00360184853355548
"185","SOM->DETAMP",0.577817955592523,0.0816260407299693,0.315112232881777,0.95224743867996
"186","ZOOPLANKT->DPAMP",0.0235223477906463,0.00477781423355756,0.0108473858817974,0.0354024533405198
"187","SOM->DPAMP",0.0345834518111973,0.00702452449814715,0.015948239957116,0.0520500355660708
"188","CUMACE->CARSHR",0.0120701962085652,0.0107804882352592,3.35706221865368e-06,0.0744862091914705
"189","DETAMP->CARSHR",0.0215286270952694,0.0198386199709228,7.66988302213883e-07,0.160667898235557
"190","DPAMP->CARSHR",0.00174095781653833,0.00162271777596913,6.1726795380835e-08,0.0113115937400417
"191","CARSHR->CARSHR",0.0240023728297365,0.0216512860003408,4.62536085390916e-06,0.173117033505089
"192","HSUDEBI->CARSHR",0.245661733418715,0.179008679695551,5.82654160130383e-05,1.0143977686948
"193","SUDEBI->CARSHR",0.0750730543458094,0.0613728133348108,2.93850695480422e-06,0.550003544764944
"194","SUSBIV->CARSHR",0.09752305460251,0.0744759209548015,5.80467197827065e-05,0.759339393802459
"195","DETBIV->CARSHR",0.042482808785788,0.0387732470734018,2.47663160287864e-06,0.345476384054047
"196","DETPOL->CARSHR",0.039724016192045,0.036131711873533,2.55906027786084e-06,0.2602516554623
"197","NEPHTY->CARSHR",0.159871695311471,0.0781565834933715,0.000186470012460971,0.518658728460636
"198","CARPOLP->CARSHR",0.0250616740141123,0.0226467745916336,6.44641552034178e-06,0.154634110014214
"199","CARPOLC->CARSHR",0.0234702741703685,0.021264916459246,1.17453698943301e-06,0.162792547988834
"200","CARPOLPC->CARSHR",0.0402092303187292,0.0361055614401666,3.66516730628084e-07,0.242347935436072
"201","SUDEPOL->CARSHR",0.126601043718416,0.0867501326250183,1.65052862373116e-05,0.516996676289007
"202","SUSWOR->CARSHR",0.00899006654946002,0.00818440056105984,1.37369799637011e-06,0.0614030363318231
"203","ZOOPLANKT->CARSHR",0.160922889784075,0.110501604489483,1.20870533088859e-05,0.641171200319399
"204","SOM->CARSHR",0.0697391377820078,0.0471292281974091,1.1558088822051e-05,0.309586995046506
"205","SPOM->CARSHR",0.117218273722893,0.0848608222735722,2.60859951305425e-05,0.613455583543471
"206","ZOOPLANKT->PAGURI",0.30018121001241,0.0923981932540432,0.0809808034741579,0.737029652653285
"207","SOM->PAGURI",0.0675904280336462,0.0340817440299508,9.84092194166016e-07,0.211335301952049
"208","SPOM->PAGURI",0.331470489416824,0.123387179868029,0.00312358824119685,0.950715579926116
"209","CUMACE->CARNCR",0.0101339599194418,0.00932272143698549,7.28329157743648e-07,0.0712530853899289
"210","DETAMP->CARNCR",0.0147022378299628,0.0140322199081958,6.99253212485567e-07,0.121966369557172
"211","DPAMP->CARNCR",0.00165080883182427,0.00152420517314508,8.20339263569937e-08,0.0119153334962121
"212","CARSHR->CARNCR",0.0098816370897033,0.00941379432707007,3.61176627362224e-07,0.0759678739816379
"213","PAGURI->CARNCR",0.0143859660842947,0.0133365356500425,2.42134491565036e-07,0.117744921503088
"214","HSUDEBI->CARNCR",0.029084531295325,0.027278648871422,1.48346611078543e-07,0.206810022017685
"215","SUDEBI->CARNCR",0.0183129942021429,0.0168386069249767,1.33246094764924e-06,0.138604456287071
"216","SUSBIV->CARNCR",0.0266189462028864,0.024431144338483,2.6374969877604e-06,0.201377382227736
"217","DETBIV->CARNCR",0.0249135161077349,0.023135642367724,5.38353087653192e-07,0.189167609536631
"218","SUSGAS->CARNCR",0.000155887894511464,0.000141695705284074,4.09330740731449e-09,0.00106653490692384
"219","PARGAS->CARNCR",0.000412552166157238,0.00036859118440074,6.59669120616142e-08,0.00280853715455496
"220","SCAGAS->CARNCR",0.000958992983447119,0.000856858750968206,8.48468524535266e-08,0.00567189465290504
"221","BORGAS->CARNCR",0.00878944549813571,0.00810552586090027,8.99602075278338e-08,0.0735207721220989
"222","DETPOL->CARNCR",0.0142859058360626,0.013487602526239,3.72363493740806e-07,0.112222500532366
"223","NEPHTY->CARNCR",0.0159109163608815,0.0147795199414415,8.66302092892475e-07,0.109126009273333
"224","CARPOLP->CARNCR",0.0129150940074839,0.0122035801481855,1.01545010211459e-06,0.110594969610505
"225","CARPOLC->CARNCR",0.00989403382591905,0.00936601522285996,3.14180456890347e-07,0.0851149086800331
"226","CARPOLPC->CARNCR",0.0151327334961176,0.0143144435107715,3.30464265643987e-06,0.111450341722376
"227","SUDEPOL->CARNCR",0.0186859731318184,0.0173463807143226,3.62538539286361e-07,0.149268995006462
"228","SUSWOR->CARNCR",0.00710132522325033,0.00679177266194915,7.55275495937439e-07,0.0514493262280731
"229","ASTRUB->CARNCR",0.0198946945960811,0.0188711831119172,1.45510663381135e-07,0.154523415014537
"230","PSAMIL->CARNCR",0.0172320418974984,0.016105239499411,2.21459376955832e-06,0.124702616670136
"231","SOM->CARNCR",0.0619705260433768,0.0222485398155612,0.000236435187168619,0.137755760165981
"232","PHYTOPLANKT->HSUDEBI",47.2958983258507,4.0726673716952,43.2132348521997,70.9884764784635
"233","SOM->HSUDEBI",3.14555689209565,3.80116355607755,0.000342594035909187,25.3109295478692
"234","SPOM->HSUDEBI",22.8798479951624,2.42509453695781,20.5330352380784,37.0235352029029
"235","ZOOPLANKT->SUDEBI",2.50202477921612,0.23852736948674,1.46882760682644,3.45972355108416
"236","PHYTOPLANKT->SUDEBI",2.08975484826701,0.221404530179219,1.32634623558942,2.93176913413825
"237","SOM->SUDEBI",0.14796941997992,0.104382793254075,1.33752891167302e-05,0.694361735482369
"238","SPOM->SUDEBI",0.241738425132765,0.122642294176733,0.000125858224049875,0.727141463344867
"239","ZOOPLANKT->SUSBIV",5.06080479825562,0.15119323924992,4.60150369921479,5.49920427675084
