fish foodsource foodweb1 foodweb2 t_stat df p_value
202 AMMODY Zoo Coarse Fine -33.1957710724089 18163.4431143621 1.21247700851924e-234
203 AMMODY Zoo Coarse OWF 24.8811754535839 10000.2620928919 1.21700533053953e-132
204 AMMODY Zoo Fine OWF 58.7965590933711 9999.65334807941 0
205 AMMODY SPOM Coarse Fine NA NA NA
206 AMMODY SPOM Coarse OWF NA NA NA
207 AMMODY SPOM Fine OWF NA NA NA
208 AMMODY SOM Coarse Fine NA NA NA
209 AMMODY SOM Coarse OWF NA NA NA
210 AMMODY SOM Fine OWF NA NA NA
211 AMMODY Biv Coarse Fine NA NA NA
212 AMMODY Biv Coarse OWF NA NA NA
213 AMMODY Biv Fine OWF NA NA NA
214 AMMODY Crust Coarse Fine 6.44977985171571 19932.6689629818 1.14585252461434e-10
215 AMMODY Crust Coarse OWF -10.4941153836639 10000.6116268013 1.24898587021144e-25
216 AMMODY Crust Fine OWF -18.7802704587472 10000.4370872952 2.32611490065023e-77
217 AMMODY Poly Coarse Fine NA NA NA
218 AMMODY Poly Coarse OWF NA NA NA
219 AMMODY Poly Fine OWF NA NA NA
220 AMMODY Other Coarse Fine NA NA NA
221 AMMODY Other Coarse OWF NA NA NA
222 AMMODY Other Fine OWF NA NA NA
223 AMMODY Fish Coarse Fine 56.0847586960239 19191.6185824785 0
224 AMMODY Fish Coarse OWF -9.38620207705161 10001.0426645413 7.57663206724571e-21
225 AMMODY Fish Fine OWF -100.503555146323 10002.095993908 0
226 PLEURO Phyto Coarse Fine NA NA NA
227 PLEURO Phyto Coarse OWF NA NA NA
228 PLEURO Phyto Fine OWF NA NA NA
229 PLEURO Zoo Coarse Fine 17.5603276035302 19475.9650501482 1.6724453748947e-68
230 PLEURO Zoo Coarse OWF -370.967009379261 10001.0945996933 0
231 PLEURO Zoo Fine OWF -464.751586834738 10001.9147233126 0
232 PLEURO SPOM Coarse Fine NA NA NA
233 PLEURO SPOM Coarse OWF NA NA NA
234 PLEURO SPOM Fine OWF NA NA NA
235 PLEURO SOM Coarse Fine NA NA NA
236 PLEURO SOM Coarse OWF NA NA NA
237 PLEURO SOM Fine OWF NA NA NA
238 PLEURO Biv Coarse Fine -110.517329548686 16663.4035630599 0
239 PLEURO Biv Coarse OWF 127.650067378044 9999.10833204258 0
240 PLEURO Biv Fine OWF 208.794548904047 9999.04136586452 0
241 PLEURO Crust Coarse Fine 143.90090923694 13927.1422902323 0
242 PLEURO Crust Coarse OWF 112.532293090799 9999.32394673129 0
243 PLEURO Crust Fine OWF -100.369693277883 10000.5829016757 0
244 PLEURO Poly Coarse Fine -19.7622260162405 19861.3218002828 4.23011159337683e-86
245 PLEURO Poly Coarse OWF 81.8545862109465 9999.5036884125 0
246 PLEURO Poly Fine OWF 118.13556656721 9999.59481542408 0
247 PLEURO Other Coarse Fine -25.6006243163029 19971.7019077535 2.94272273070481e-142
248 PLEURO Other Coarse OWF -14.4972656395436 9999.77165261312 3.78539567181925e-47
249 PLEURO Other Fine OWF 21.5841538017554 9999.71761125721 4.99984436744372e-101
250 PLEURO Fish Coarse Fine 54.0987702042473 15303.372997775 0
251 PLEURO Fish Coarse OWF 5.90996889122972 9999.49369416975 3.53352815132373e-09
252 PLEURO Fish Fine OWF -103.509459183205 10000.7195303513 0
253 CLUPEI Phyto Fine OWF NA NA NA
254 CLUPEI Zoo Fine OWF 29.4456626160889 9999.15597308657 7.82250532998202e-183
255 CLUPEI SPOM Fine OWF NA NA NA
256 CLUPEI SOM Fine OWF NA NA NA
257 CLUPEI Biv Fine OWF NA NA NA
258 CLUPEI Crust Fine OWF NA NA NA
259 CLUPEI Poly Fine OWF NA NA NA
260 CLUPEI Other Fine OWF NA NA NA
261 CLUPEI Fish Fine OWF -11882.5396825397 9999 0
